"","cell","year"
"371",2213,2016
"372",2213,2017
"373",2213,2022
"374",2213,2023
"375",2214,2010
"376",2214,2011
"377",2215,2012
"378",2215,2013
"379",2214,2014
"380",2215,2014
"381",2214,2016
"382",2215,2016
"383",2520,2016
"384",2214,2019
"385",2215,2019
"386",2214,2020
"387",2215,2020
"388",2520,2020
"389",2521,2020
"390",2214,2023
"391",2215,2017
"392",2216,2017
"393",2521,2017
"394",2215,2021
"395",2215,2022
"396",2215,2023
"397",2521,2023
"398",2229,2017
"399",2230,2017
"400",2229,2019
"401",2230,2019
"402",1927,2017
"403",2232,2017
"404",2233,2017
"405",2231,2020
"406",2232,2020
"407",2537,2020
"408",2538,2020
"409",2514,2021
"410",2515,2021
"411",2821,2021
"412",2519,2011
"413",2825,2011
"414",2519,2013
"415",2520,2013
"416",2519,2015
"417",2825,2015
"418",2518,2023
"419",2519,2023
"420",2824,2023
"421",2825,2023
"422",2521,2013
"423",2825,2013
"424",2826,2013
"425",2827,2013
"426",2520,2014
"427",2519,2017
"428",2520,2017
"429",2213,2018
"430",2519,2018
"431",2520,2018
"432",2521,2018
"433",2519,2021
"434",2520,2021
"435",2825,2021
"436",2826,2021
"437",2520,2023
"438",2520,2012
"439",2521,2012
"440",2521,2016
"441",2527,2015
"442",2528,2015
"443",2534,2016
"444",2535,2016
"445",2534,2019
"446",2535,2019
"447",2535,2022
"448",2536,2016
"449",2537,2016
"450",2535,2017
"451",2536,2017
"452",2808,2014
"453",2809,2014
"454",3115,2014
"455",2809,2016
"456",2808,2017
"457",2809,2017
"458",3115,2017
"459",2808,2018
"460",2809,2018
"461",2810,2018
"462",3114,2018
"463",3115,2018
"464",2510,2011
"465",2816,2011
"466",2817,2011
"467",2816,2012
"468",2816,2014
"469",2816,2015
"470",2816,2017
"471",2816,2023
"472",2816,2024
"473",2823,2014
"474",2824,2014
"475",3129,2014
"476",3130,2014
"477",2823,2022
"478",2824,2022
"479",2825,2010
"480",2826,2010
"481",2825,2012
"482",2826,2012
"483",3131,2012
"484",3132,2012
"485",2825,2014
"486",2826,2014
"487",2826,2015
"488",2825,2017
"489",2825,2018
"490",2825,2020
"491",2826,2020
"492",3131,2021
"493",2825,2024
"494",2826,2024
"495",2519,2014
"496",2826,2017
"497",2826,2018
"498",3131,2020
"499",3132,2020
"500",2826,2023
"501",2827,2012
"502",2827,2019
"503",2826,2022
"504",2827,2022
"505",2829,2017
"506",2830,2017
"507",2830,2020
"508",2833,2020
"509",3139,2020
"510",3116,2012
"511",3121,2015
"512",3122,2015
"513",3127,2024
"514",3128,2024
"515",3433,2024
"516",3434,2024
"517",3129,2012
"518",3129,2020
"519",3130,2022
"520",3130,2024
"521",3131,2022
"522",3132,2011
"523",3438,2011
"524",3132,2023
"525",3133,2019
"526",2832,2022
"527",2833,2022
"528",3138,2022
"529",3139,2022
"530",3139,2012
"531",2832,2013
"532",2833,2013
"533",3138,2013
"534",3139,2013
"535",3434,2018
"536",3434,2022
"537",3740,2022
"538",3740,2024
"539",3438,2022
"540",3439,2022
"541",3439,2017
"542",3745,2017
"543",3439,2019
"544",3439,2021
"545",3394,2016
"546",3700,2016
"547",3700,2023
"548",3729,2015
"549",3739,2011
"550",3740,2011
"551",4045,2011
"552",4046,2011
"553",3738,2016
"554",3739,2016
"555",4044,2016
"556",4045,2016
"557",3738,2019
"558",3739,2019
"559",3739,2021
"560",3740,2021
"561",4045,2021
"562",4046,2021
"563",3739,2022
"564",3433,2023
"565",3434,2023
"566",3739,2023
"567",3740,2023
"568",3739,2024
"569",3434,2011
"570",3740,2012
"571",3434,2013
"572",3740,2013
"573",3740,2014
"574",3434,2015
"575",3740,2015
"576",3740,2016
"577",3740,2018
"578",3434,2019
"579",3740,2019
"580",3740,2020
"581",3741,2011
"582",3741,2012
"583",3742,2012
"584",3435,2013
"585",3741,2013
"586",4047,2013
"587",3741,2015
"588",3742,2015
"589",3741,2020
"590",3742,2020
"591",3741,2021
"592",3741,2023
"593",3742,2011
"594",3742,2013
"595",3741,2016
"596",3742,2016
"597",3741,2017
"598",3742,2017
"599",3435,2019
"600",3436,2019
"601",3741,2019
"602",3742,2019
"603",3435,2020
"604",3436,2020
"605",3742,2021
"606",3741,2024
"607",3742,2024
"608",3744,2015
"609",3745,2015
"610",3744,2021
"611",3745,2021
"612",3744,2022
"613",3745,2022
"614",3744,2024
"615",3745,2024
"616",3440,2018
"617",3746,2018
"618",3440,2019
"619",3745,2019
"620",3746,2019
"621",3439,2020
"622",3440,2020
"623",3745,2020
"624",3746,2020
"625",3440,2021
"626",3746,2021
"627",3440,2023
"628",3745,2023
"629",3746,2023
"630",3439,2024
"631",3440,2024
"632",3746,2024
"633",3750,2017
"634",3751,2017
"635",4045,2012
"636",4045,2013
"637",4045,2014
"638",4045,2015
"639",4045,2017
"640",4045,2018
"641",4045,2019
"642",4045,2020
"643",4046,2023
"644",4047,2021
"645",4048,2021
"646",3744,2019
"647",4050,2019
"648",3744,2020
"649",4050,2020
"650",4050,2021
"651",4051,2021
"652",4350,2010
"653",4351,2010
"654",4656,2010
"655",4657,2010
"656",4350,2012
"657",4351,2012
"658",4350,2014
"659",4351,2014
"660",4351,2016
"661",4352,2016
"662",4657,2016
"663",4350,2017
"664",4351,2017
"665",4350,2019
"666",4351,2019
"667",4351,2022
"668",4350,2024
"669",4351,2024
"670",4656,2024
"671",4657,2024
"672",4066,2014
"673",4067,2014
"674",4372,2014
"675",4373,2014
"676",4065,2019
"677",4066,2019
"678",4067,2019
"679",4371,2019
"680",4372,2019
"681",4373,2019
"682",4068,2023
"683",4374,2023
"684",4657,2013
"685",4660,2011
"686",4661,2011
"687",4966,2011
"688",4967,2011
"689",4660,2012
"690",4661,2012
"691",4966,2012
"692",4967,2012
"693",4354,2022
"694",4355,2022
"695",4660,2022
"696",4661,2022
"697",4661,2023
"698",4967,2023
"699",4661,2024
"700",4357,2012
"701",4358,2012
"702",4663,2012
"703",4664,2012
"704",4663,2013
"705",4663,2014
"706",4663,2015
"707",4648,2021
"708",4953,2021
"709",4954,2021
"710",4964,2022
"711",4964,2024
"712",4965,2024
"713",4965,2015
"714",4965,2017
"715",4964,2018
"716",4965,2018
"717",4965,2020
"718",4965,2021
"719",4966,2016
"720",4966,2018
"721",5271,2018
"722",5272,2018
"723",4968,2012
"724",4969,2012
"725",5274,2012
"726",4968,2014
"727",4968,2018
"728",4968,2019
"729",4968,2020
"730",5274,2020
"731",4968,2024
"732",5271,2012
"733",5272,2012
"734",5577,2012
"735",5271,2013
"736",5272,2013
"737",5577,2013
"738",5578,2013
"739",5271,2016
"740",5577,2016
"741",5577,2018
"742",5271,2020
"743",5272,2016
"744",5271,2021
"745",5272,2021
"746",4967,2015
"747",4968,2015
"748",5273,2015
"749",5274,2015
"750",5273,2017
"751",5274,2017
"752",5273,2018
"753",5274,2018
"754",5274,2011
"755",5275,2012
"756",5274,2013
"757",5274,2014
"758",5275,2014
"759",5275,2015
"760",5274,2016
"761",5580,2016
"762",4968,2021
"763",4969,2021
"764",5273,2021
"765",5274,2021
"766",5275,2021
"767",5274,2022
"768",5274,2024
"769",5275,2013
"770",5275,2016
"771",5275,2017
"772",5275,2018
"773",5275,2019
"774",5275,2022
"775",5275,2023
"776",5276,2023
"777",5581,2023
"778",5276,2013
"779",4969,2015
"780",4970,2015
"781",5276,2015
"782",5277,2015
"783",5276,2019
"784",5278,2015
"785",5278,2020
"786",5279,2020
"787",5584,2020
"788",5585,2020
"789",5279,2012
"790",5279,2015
"791",5278,2016
"792",5279,2016
"793",5584,2016
"794",5585,2016
"795",5278,2019
"796",5279,2019
"797",5585,2019
"798",5280,2019
"799",5576,2011
"800",5577,2011
"801",5578,2011
"802",5882,2011
"803",5883,2011
"804",5576,2012
"805",5882,2012
"806",5883,2012
"807",5577,2015
"808",5883,2015
"809",5577,2019
"810",5578,2019
"811",5883,2019
"812",5884,2019
"813",5577,2020
"814",5577,2021
"815",5883,2021
"816",5578,2012
"817",5883,2013
"818",5884,2013
"819",5578,2015
"820",5884,2015
"821",5578,2016
"822",5884,2016
"823",5578,2017
"824",5579,2017
"825",5578,2018
"826",5578,2021
"827",5578,2022
"828",5578,2024
"829",5884,2024
"830",5579,2022
"831",5579,2024
"832",5580,2012
"833",5580,2015
"834",5579,2019
"835",5580,2019
"836",5580,2021
"837",5275,2011
"838",5580,2011
"839",5581,2011
"840",5276,2012
"841",5581,2012
"842",5582,2012
"843",5580,2013
"844",5581,2013
"845",5580,2014
"846",5581,2014
"847",5581,2015
"848",5581,2018
"849",5274,2019
"850",5581,2019
"851",5580,2020
"852",5581,2020
"853",5582,2020
"854",5581,2021
"855",5581,2016
"856",5582,2016
"857",5582,2018
"858",5582,2019
"859",5276,2022
"860",5277,2022
"861",5581,2022
"862",5582,2022
"863",5583,2022
"864",5582,2023
"865",5583,2012
"866",5884,2011
"867",5882,2015
"868",5883,2016
"869",5883,2017
"870",5884,2017
"871",5578,2020
"872",5883,2020
"873",5884,2020
"874",5577,2023
"875",5578,2023
"876",5883,2023
"877",5884,2023
"878",5883,2024
"879",5884,2012
"880",5883,2014
"881",5884,2014
"882",6189,2014
"883",6190,2014
"884",5884,2021
"885",6189,2021
"886",6190,2021
"887",5885,2012
"888",5886,2012
"889",5885,2015
"890",5886,2015
"891",6191,2015
"892",6192,2015
"893",5579,2016
"894",5885,2016
"895",5886,2016
"896",5885,2019
"897",5886,2019
"898",5885,2020
"899",5886,2020
"900",5885,2022
"901",5886,2022
"902",5903,2022
"903",5904,2022
"904",6209,2022
"905",6210,2022
"906",5904,2018
"907",6210,2018
"908",6189,2012
"909",6190,2012
"910",6189,2013
"911",6190,2013
"912",6189,2015
"913",6190,2015
"914",6189,2016
"915",6190,2016
"916",6189,2017
"917",6190,2017
"918",6189,2020
"919",6189,2024
"920",6190,2024
"921",6189,2010
"922",6190,2010
"923",5883,2022
"924",5884,2022
"925",6189,2022
"926",6190,2022
"927",6189,2023
"928",6190,2023
"929",6192,2011
"930",6193,2011
"931",6498,2011
"932",6499,2011
"933",6192,2017
"934",6193,2017
"935",6192,2018
"936",6193,2018
"937",6192,2020
"938",6193,2020
"939",6192,2022
"940",6193,2022
"941",5887,2020
"942",6192,2021
"943",6193,2021
"944",6202,2021
"945",5897,2020
"946",6203,2020
"947",5897,2021
"948",6203,2021
"949",5897,2015
"950",5898,2015
"951",6203,2015
"952",6204,2015
"953",6496,2011
"954",6802,2011
"955",6496,2012
"956",6802,2012
"957",6496,2015
"958",6190,2018
"959",6496,2018
"960",6496,2020
"961",6496,2022
"962",6802,2022
"963",6496,2023
"964",6191,2020
"965",6497,2020
"966",6498,2020
"967",6498,2021
"968",6498,2024
"969",6193,2012
"970",6499,2012
"971",6499,2017
"972",6500,2017
"973",6499,2021
"974",6499,2023
"975",6500,2023
"976",6499,2024
"977",6194,2011
"978",6500,2011
"979",6500,2021
"980",6499,2022
"981",6500,2022
"982",6500,2024
"983",6806,2024
"984",6505,2014
"985",6506,2020
"986",6513,2013
"987",6514,2013
"988",6819,2013
"989",6514,2014
"990",6514,2018
"991",6802,2013
"992",7108,2013
"993",6495,2014
"994",6496,2014
"995",6497,2014
"996",6801,2014
"997",6802,2014
"998",6803,2014
"999",6801,2015
"1000",6802,2015
"1001",6802,2017
"1002",6495,2019
"1003",6496,2019
"1004",6801,2019
"1005",6802,2019
"1006",6495,2020
"1007",6801,2020
"1008",6802,2020
"1009",6801,2021
"1010",6802,2021
"1011",6801,2022
"1012",6801,2023
"1013",6802,2023
"1014",6807,2014
"1015",7113,2014
"1016",6806,2015
"1017",6807,2015
"1018",6808,2015
"1019",7112,2015
"1020",7113,2015
"1021",7114,2015
"1022",6811,2011
"1023",6812,2011
"1024",7117,2011
"1025",7118,2011
"1026",6811,2012
"1027",6812,2012
"1028",7117,2012
"1029",7118,2012
"1030",6812,2014
"1031",6812,2015
"1032",6811,2017
"1033",6812,2017
