"","blobnum","year","cones","lag"
"451",92,2016,0,3
"452",92,2016,0,2
"453",92,2016,0,1
"454",93,2017,0,5
"455",93,2017,0,4
"456",93,2017,0,3
"457",93,2017,0,2
"458",93,2017,0,1
"459",94,2020,0,5
"460",94,2020,0,4
"461",94,2020,0,3
"462",94,2020,0,2
"463",94,2020,0,1
"464",95,2021,0,5
"465",95,2021,0,4
"466",95,2021,0,3
"467",95,2021,0,2
"468",95,2021,0,1
"469",96,2013,0,5
"470",96,2013,0,4
"471",96,2013,0,3
"472",96,2013,0,2
"473",96,2013,0,1
"474",97,2017,0,5
"475",97,2017,0,4
"476",97,2017,0,3
"477",97,2017,0,2
"478",97,2017,0,1
"479",98,2023,0,5
"480",98,2023,0,4
"481",98,2023,0,3
"482",98,2023,0,2
"483",98,2023,0,1
"484",99,2012,0,5
"485",99,2012,0,4
"486",99,2012,0,3
"487",99,2012,0,2
"488",99,2012,0,1
"489",100,2013,0,5
"490",100,2013,0,4
"491",100,2013,0,3
"492",100,2013,0,2
"493",100,2013,0,1
"494",101,2014,0,5
"495",101,2014,0,4
"496",101,2014,0,3
"497",101,2014,0,2
"498",101,2014,0,1
"499",102,2016,0,5
"500",102,2016,0,4
"501",102,2016,0,3
"502",102,2016,0,2
"503",102,2016,0,1
"504",103,2019,0,5
"505",103,2019,0,4
"506",103,2019,0,3
"507",103,2019,0,2
"508",103,2019,0,1
"509",104,2020,0,5
"510",104,2020,0,4
"511",104,2020,0,3
"512",104,2020,0,2
"513",104,2020,0,1
"514",105,2023,0,5
"515",105,2023,0,4
"516",105,2023,0,3
"517",105,2023,0,2
"518",105,2023,0,1
"519",106,2024,0,5
"520",106,2024,0,4
"521",106,2024,0,3
"522",106,2024,0,2
"523",107,2019,0,5
"524",107,2019,0,4
"525",107,2019,0,3
"526",107,2019,0,2
"527",107,2019,0,1
"528",108,2011,0,5
"529",108,2011,0,4
"530",108,2011,0,3
"531",108,2011,0,2
"532",108,2011,0,1
"533",109,2015,0,5
"534",109,2015,0,4
"535",109,2015,0,3
"536",109,2015,0,2
"537",109,2015,0,1
"538",110,2022,0,5
"539",110,2022,0,4
"540",110,2022,0,3
"541",110,2022,0,2
"542",110,2022,0,1
"543",111,2013,NA,5
"544",111,2013,NA,4
"545",111,2013,NA,3
"546",111,2013,NA,2
"547",111,2013,NA,1
"548",112,2024,0,5
"549",112,2024,0,4
"550",112,2024,0,3
"551",112,2024,0,2
"552",113,2020,0,5
"553",113,2020,0,4
"554",113,2020,0,3
"555",113,2020,0,2
"556",113,2020,0,1
"557",114,2012,0,5
"558",114,2012,0,4
"559",114,2012,0,3
"560",114,2012,0,2
"561",114,2012,0,1
"562",115,2013,0,5
"563",115,2013,0,4
"564",115,2013,0,3
"565",115,2013,0,2
"566",115,2013,0,1
"567",116,2014,0,5
"568",116,2014,0,4
"569",116,2014,0,3
"570",116,2014,0,2
"571",116,2014,0,1
"572",117,2015,0,5
"573",117,2015,0,4
"574",117,2015,0,3
"575",117,2015,0,2
"576",117,2015,0,1
"577",118,2016,0,5
"578",118,2016,0,4
"579",118,2016,0,3
"580",118,2016,0,2
"581",118,2016,0,1
"582",119,2018,0,5
"583",119,2018,0,4
"584",119,2018,0,3
"585",119,2018,0,2
"586",119,2018,0,1
"587",120,2019,0,5
"588",120,2019,0,4
"589",120,2019,0,3
"590",120,2019,0,2
"591",120,2019,0,1
"592",121,2020,0,5
"593",121,2020,0,4
"594",121,2020,0,3
"595",121,2020,0,2
"596",121,2020,0,1
"597",122,2022,0,5
"598",122,2022,0,4
"599",122,2022,0,3
"600",122,2022,0,2
"601",122,2022,0,1
"602",123,2024,0,5
"603",123,2024,0,4
"604",123,2024,0,3
"605",123,2024,0,2
"606",124,2010,0,5
"607",124,2010,0,4
"608",124,2010,0,3
"609",124,2010,0,2
"610",124,2010,0,1
"611",125,2011,0,5
"612",125,2011,0,4
"613",125,2011,0,3
"614",125,2011,0,2
"615",125,2011,0,1
"616",126,2012,0,5
"617",126,2012,0,4
"618",126,2012,0,3
"619",126,2012,0,2
"620",126,2012,0,1
"621",127,2013,0,5
"622",127,2013,0,4
"623",127,2013,0,3
"624",127,2013,0,2
"625",127,2013,0,1
"626",128,2014,0,5
"627",128,2014,0,4
"628",128,2014,0,3
"629",128,2014,0,2
"630",128,2014,0,1
"631",129,2015,0,5
"632",129,2015,0,4
"633",129,2015,0,3
"634",129,2015,0,2
"635",129,2015,0,1
"636",130,2019,0,5
"637",130,2019,0,4
"638",130,2019,0,3
"639",130,2019,0,2
"640",130,2019,0,1
"641",131,2021,0,5
"642",131,2021,0,4
"643",131,2021,0,3
"644",131,2021,0,2
"645",131,2021,0,1
"646",132,2024,0,5
"647",132,2024,0,4
"648",132,2024,0,3
"649",132,2024,0,2
"650",133,2010,0,5
"651",133,2010,0,4
"652",133,2010,0,3
"653",133,2010,0,2
"654",133,2010,0,1
"655",134,2011,0,5
"656",134,2011,0,4
"657",134,2011,0,3
"658",134,2011,0,2
"659",134,2011,0,1
"660",135,2012,0,5
"661",135,2012,0,4
"662",135,2012,0,3
"663",135,2012,0,2
"664",135,2012,0,1
"665",136,2013,0,5
"666",136,2013,0,4
"667",136,2013,0,3
"668",136,2013,0,2
"669",136,2013,0,1
"670",137,2014,0,5
"671",137,2014,0,4
"672",137,2014,0,3
"673",137,2014,0,2
"674",137,2014,0,1
"675",138,2015,0,5
"676",138,2015,0,4
"677",138,2015,0,3
"678",138,2015,0,2
"679",138,2015,0,1
"680",139,2016,0,5
"681",139,2016,0,4
"682",139,2016,0,3
"683",139,2016,0,2
"684",139,2016,0,1
"685",140,2017,0,5
"686",140,2017,0,4
"687",140,2017,0,3
"688",140,2017,0,2
"689",140,2017,0,1
"690",141,2020,0,5
"691",141,2020,0,4
"692",141,2020,0,3
"693",141,2020,0,2
"694",141,2020,0,1
"695",142,2021,0,5
"696",142,2021,0,4
"697",142,2021,0,3
"698",142,2021,0,2
"699",142,2021,0,1
"700",143,2022,0,5
"701",143,2022,0,4
"702",143,2022,0,3
"703",143,2022,0,2
"704",143,2022,0,1
"705",144,2024,0,5
"706",144,2024,0,4
"707",144,2024,0,3
"708",144,2024,0,2
"709",145,2010,0,5
"710",145,2010,0,4
"711",145,2010,0,3
"712",145,2010,0,2
"713",145,2010,0,1
"714",146,2011,0,5
"715",146,2011,0,4
"716",146,2011,0,3
"717",146,2011,0,2
"718",146,2011,0,1
"719",147,2012,0,5
"720",147,2012,0,4
"721",147,2012,0,3
"722",147,2012,0,2
"723",147,2012,0,1
"724",148,2013,0,5
"725",148,2013,0,4
"726",148,2013,0,3
"727",148,2013,0,2
"728",148,2013,0,1
"729",149,2014,0,5
"730",149,2014,0,4
"731",149,2014,0,3
"732",149,2014,0,2
"733",149,2014,0,1
"734",150,2015,0,5
"735",150,2015,0,4
"736",150,2015,0,3
"737",150,2015,0,2
"738",150,2015,0,1
"739",151,2016,0,5
"740",151,2016,0,4
"741",151,2016,0,3
"742",151,2016,0,2
"743",151,2016,0,1
"744",152,2017,0,5
"745",152,2017,0,4
"746",152,2017,0,3
"747",152,2017,0,2
"748",152,2017,0,1
"749",153,2018,0,5
"750",153,2018,0,4
"751",153,2018,0,3
"752",153,2018,0,2
"753",153,2018,0,1
"754",154,2020,0,5
"755",154,2020,0,4
"756",154,2020,0,3
"757",154,2020,0,2
"758",154,2020,0,1
"759",155,2021,0,5
"760",155,2021,0,4
"761",155,2021,0,3
"762",155,2021,0,2
"763",155,2021,0,1
"764",156,2022,0,5
"765",156,2022,0,4
"766",156,2022,0,3
"767",156,2022,0,2
"768",156,2022,0,1
"769",157,2011,0,5
"770",157,2011,0,4
"771",157,2011,0,3
"772",157,2011,0,2
"773",157,2011,0,1
"774",158,2012,0,5
"775",158,2012,0,4
"776",158,2012,0,3
"777",158,2012,0,2
"778",158,2012,0,1
"779",159,2013,0,5
"780",159,2013,0,4
"781",159,2013,0,3
"782",159,2013,0,2
"783",159,2013,0,1
"784",160,2016,0,5
"785",160,2016,0,4
"786",160,2016,0,3
"787",160,2016,0,2
"788",160,2016,0,1
"789",161,2017,0,5
"790",161,2017,0,4
"791",161,2017,0,3
"792",161,2017,0,2
"793",161,2017,0,1
"794",162,2018,0,5
"795",162,2018,0,4
"796",162,2018,0,3
"797",162,2018,0,2
"798",162,2018,0,1
"799",163,2019,0,5
"800",163,2019,0,4
"801",163,2019,0,3
"802",163,2019,0,2
"803",163,2019,0,1
"804",164,2020,0,5
"805",164,2020,0,4
"806",164,2020,0,3
"807",164,2020,0,2
"808",164,2020,0,1
"809",165,2021,0,5
"810",165,2021,0,4
"811",165,2021,0,3
"812",165,2021,0,2
"813",165,2021,0,1
"814",166,2022,0,5
"815",166,2022,0,4
"816",166,2022,0,3
"817",166,2022,0,2
"818",166,2022,0,1
"819",167,2023,0,5
"820",167,2023,0,4
"821",167,2023,0,3
"822",167,2023,0,2
"823",167,2023,0,1
"824",168,2012,0,5
"825",168,2012,0,4
"826",168,2012,0,3
"827",168,2012,0,2
"828",168,2012,0,1
"829",169,2013,0,5
"830",169,2013,0,4
"831",169,2013,0,3
"832",169,2013,0,2
"833",169,2013,0,1
"834",170,2016,0,5
"835",170,2016,0,4
"836",170,2016,0,3
"837",170,2016,0,2
"838",170,2016,0,1
"839",171,2017,0,5
"840",171,2017,0,4
"841",171,2017,0,3
"842",171,2017,0,2
"843",171,2017,0,1
"844",172,2019,0,5
"845",172,2019,0,4
"846",172,2019,0,3
"847",172,2019,0,2
"848",172,2019,0,1
"849",173,2022,0,5
"850",173,2022,0,4
"851",173,2022,0,3
"852",173,2022,0,2
"853",173,2022,0,1
"854",174,2012,0,5
"855",174,2012,0,4
"856",174,2012,0,3
"857",174,2012,0,2
"858",174,2012,0,1
"859",175,2019,0,5
"860",175,2019,0,4
"861",175,2019,0,3
"862",175,2019,0,2
"863",175,2019,0,1
"864",176,2017,0,5
"865",176,2017,0,4
"866",176,2017,0,3
"867",176,2017,0,2
"868",176,2017,0,1
"869",177,2023,0,5
"870",177,2023,0,4
"871",177,2023,0,3
"872",177,2023,0,2
"873",177,2023,0,1
"874",178,2023,0,5
"875",178,2023,0,4
"876",178,2023,0,3
"877",178,2023,0,2
"878",178,2023,0,1
"879",179,2011,0,5
"880",179,2011,0,4
"881",179,2011,0,3
"882",179,2011,0,2
"883",179,2011,0,1
"884",180,2011,0,5
"885",180,2011,0,4
"886",180,2011,0,3
"887",180,2011,0,2
"888",180,2011,0,1
"889",181,2012,0,5
"890",181,2012,0,4
"891",181,2012,0,3
"892",181,2012,0,2
"893",181,2012,0,1
"894",182,2013,0,5
"895",182,2013,0,4
"896",182,2013,0,3
"897",182,2013,0,2
"898",182,2013,0,1
"899",183,2016,0,5
"900",183,2016,0,4
"901",183,2016,0,3
"902",183,2016,0,2
"903",183,2016,0,1
"904",184,2017,0,5
"905",184,2017,0,4
"906",184,2017,0,3
"907",184,2017,0,2
"908",184,2017,0,1
"909",185,2010,0,5
"910",185,2010,0,4
"911",185,2010,0,3
"912",185,2010,0,2
"913",185,2010,0,1
"914",186,2011,0,5
"915",186,2011,0,4
"916",186,2011,0,3
"917",186,2011,0,2
"918",186,2011,0,1
"919",187,2012,0,5
"920",187,2012,0,4
"921",187,2012,0,3
"922",187,2012,0,2
"923",187,2012,0,1
"924",188,2013,0,5
"925",188,2013,0,4
"926",188,2013,0,3
"927",188,2013,0,2
"928",188,2013,0,1
"929",189,2014,0,5
"930",189,2014,0,4
"931",189,2014,0,3
"932",189,2014,0,2
"933",189,2014,0,1
"934",190,2015,0,5
"935",190,2015,0,4
"936",190,2015,0,3
"937",190,2015,0,2
"938",190,2015,0,1
"939",191,2016,0,5
"940",191,2016,0,4
"941",191,2016,0,3
"942",191,2016,0,2
"943",191,2016,0,1
"944",192,2017,0,5
"945",192,2017,0,4
"946",192,2017,0,3
"947",192,2017,0,2
"948",192,2017,0,1
"949",193,2019,0,5
"950",193,2019,0,4
"951",193,2019,0,3
"952",193,2019,0,2
"953",193,2019,0,1
"954",194,2021,0,5
"955",194,2021,0,4
"956",194,2021,0,3
"957",194,2021,0,2
"958",194,2021,0,1
"959",195,2022,0,5
"960",195,2022,0,4
"961",195,2022,0,3
"962",195,2022,0,2
"963",195,2022,0,1
"964",196,2023,0,5
"965",196,2023,0,4
"966",196,2023,0,3
"967",196,2023,0,2
"968",196,2023,0,1
"969",197,2024,0,5
"970",197,2024,0,4
"971",197,2024,0,3
"972",197,2024,0,2
"973",198,2010,0,5
"974",198,2010,0,4
"975",198,2010,0,3
"976",198,2010,0,2
"977",198,2010,0,1
"978",199,2011,0,5
"979",199,2011,0,4
"980",199,2011,0,3
"981",199,2011,0,2
"982",199,2011,0,1
"983",200,2012,0,5
"984",200,2012,0,4
"985",200,2012,0,3
"986",200,2012,0,2
"987",200,2012,0,1
"988",201,2013,0,5
"989",201,2013,0,4
"990",201,2013,0,3
"991",201,2013,0,2
"992",201,2013,0,1
"993",202,2014,0,5
"994",202,2014,0,4
"995",202,2014,0,3
"996",202,2014,0,2
"997",202,2014,0,1
"998",203,2016,0,5
"999",203,2016,0,4
"1000",203,2016,0,3
"1001",203,2016,0,2
"1002",203,2016,0,1
"1003",204,2018,0,5
"1004",204,2018,0,4
"1005",204,2018,0,3
"1006",204,2018,0,2
"1007",204,2018,0,1
"1008",205,2019,0,5
"1009",205,2019,0,4
"1010",205,2019,0,3
"1011",205,2019,0,2
"1012",205,2019,0,1
"1013",206,2020,0,5
"1014",206,2020,0,4
"1015",206,2020,0,3
"1016",206,2020,0,2
"1017",206,2020,0,1
"1018",207,2023,0,5
"1019",207,2023,0,4
"1020",207,2023,0,3
"1021",207,2023,0,2
"1022",207,2023,0,1
"1023",208,2013,0,5
"1024",208,2013,0,4
"1025",208,2013,0,3
"1026",208,2013,0,2
"1027",208,2013,0,1
"1028",209,2014,0,5
"1029",209,2014,0,4
"1030",209,2014,0,3
"1031",209,2014,0,2
"1032",209,2014,0,1
"1033",210,2015,0,5
"1034",210,2015,0,4
"1035",210,2015,0,3
"1036",210,2015,0,2
"1037",210,2015,0,1
"1038",211,2017,0,5
"1039",211,2017,0,4
"1040",211,2017,0,3
"1041",211,2017,0,2
"1042",211,2017,0,1
"1043",212,2018,0,5
"1044",212,2018,0,4
"1045",212,2018,0,3
"1046",212,2018,0,2
"1047",212,2018,0,1
"1048",213,2021,0,5
"1049",213,2021,0,4
"1050",213,2021,0,3
"1051",213,2021,0,2
"1052",213,2021,0,1
"1053",214,2022,0,5
"1054",214,2022,0,4
"1055",214,2022,0,3
"1056",214,2022,0,2
"1057",214,2022,0,1
"1058",215,2023,0,5
"1059",215,2023,0,4
"1060",215,2023,0,3
"1061",215,2023,0,2
"1062",215,2023,0,1
"1063",216,2017,0,5
"1064",216,2017,0,4
"1065",216,2017,0,3
"1066",216,2017,0,2
"1067",216,2017,0,1
"1068",217,2019,0,5
"1069",217,2019,0,4
"1070",217,2019,0,3
"1071",217,2019,0,2
"1072",217,2019,0,1
"1073",218,2017,0,5
"1074",218,2017,0,4
"1075",218,2017,0,3
"1076",218,2017,0,2
"1077",218,2017,0,1
"1078",219,2020,NA,5
"1079",219,2020,NA,4
"1080",219,2020,NA,3
"1081",219,2020,NA,2
"1082",219,2020,NA,1
"1083",220,2021,0,5
"1084",220,2021,0,4
"1085",220,2021,0,3
"1086",220,2021,0,2
"1087",220,2021,0,1
"1088",221,2011,0,5
"1089",221,2011,0,4
"1090",221,2011,0,3
"1091",221,2011,0,2
"1092",221,2011,0,1
"1093",222,2013,0,5
"1094",222,2013,0,4
"1095",222,2013,0,3
"1096",222,2013,0,2
"1097",222,2013,0,1
"1098",223,2015,0,5
"1099",223,2015,0,4
"1100",223,2015,0,3
"1101",223,2015,0,2
"1102",223,2015,0,1
"1103",224,2023,0,5
"1104",224,2023,0,4
"1105",224,2023,0,3
"1106",224,2023,0,2
"1107",224,2023,0,1
"1108",225,2013,0,5
"1109",225,2013,0,4
"1110",225,2013,0,3
"1111",225,2013,0,2
"1112",225,2013,0,1
"1113",226,2014,0,5
"1114",226,2014,0,4
"1115",226,2014,0,3
"1116",226,2014,0,2
"1117",226,2014,0,1
"1118",227,2017,0,5
"1119",227,2017,0,4
"1120",227,2017,0,3
"1121",227,2017,0,2
"1122",227,2017,0,1
"1123",228,2018,0,5
"1124",228,2018,0,4
"1125",228,2018,0,3
"1126",228,2018,0,2
"1127",228,2018,0,1
"1128",229,2021,0,5
"1129",229,2021,0,4
"1130",229,2021,0,3
"1131",229,2021,0,2
"1132",229,2021,0,1
"1133",230,2023,0,5
"1134",230,2023,0,4
"1135",230,2023,0,3
"1136",230,2023,0,2
"1137",230,2023,0,1
"1138",231,2012,0,5
"1139",231,2012,0,4
"1140",231,2012,0,3
"1141",231,2012,0,2
"1142",231,2012,0,1
"1143",232,2013,0,5
"1144",232,2013,0,4
"1145",232,2013,0,3
"1146",232,2013,0,2
"1147",232,2013,0,1
"1148",233,2016,0,5
