"","blobnum","year","cones","lag"
"1",1,2022,0,5
"2",1,2022,0,4
"3",1,2022,0,3
"4",1,2022,0,2
"5",1,2022,0,1
"6",2,2021,0,5
"7",2,2021,0,4
"8",2,2021,0,3
"9",2,2021,0,2
"10",2,2021,0,1
"11",3,2013,0,5
"12",3,2013,0,4
"13",3,2013,0,3
"14",3,2013,0,2
"15",3,2013,0,1
"16",4,2017,0,5
"17",4,2017,0,4
"18",4,2017,0,3
"19",4,2017,0,2
"20",4,2017,0,1
"21",5,2018,0,5
"22",5,2018,0,4
"23",5,2018,0,3
"24",5,2018,0,2
"25",5,2018,0,1
"26",6,2019,0,5
"27",6,2019,0,4
"28",6,2019,0,3
"29",6,2019,0,2
"30",6,2019,0,1
"31",7,2020,0,5
"32",7,2020,0,4
"33",7,2020,0,3
"34",7,2020,0,2
"35",7,2020,0,1
"36",8,2022,0,5
"37",8,2022,0,4
"38",8,2022,0,3
"39",8,2022,0,2
"40",8,2022,0,1
"41",9,2021,0,5
"42",9,2021,0,4
"43",9,2021,0,3
"44",9,2021,0,2
"45",9,2021,0,1
"46",10,2018,0,5
"47",10,2018,0,4
"48",10,2018,0,3
"49",10,2018,0,2
"50",10,2018,0,1
"51",11,2020,0,5
"52",11,2020,0,4
"53",11,2020,0,3
"54",11,2020,0,2
"55",11,2020,0,1
"56",12,2021,0,5
"57",12,2021,0,4
"58",12,2021,0,3
"59",12,2021,0,2
"60",12,2021,0,1
"61",13,2022,0,5
"62",13,2022,0,4
"63",13,2022,0,3
"64",13,2022,0,2
"65",13,2022,0,1
"66",14,2024,0,5
"67",14,2024,0,4
"68",14,2024,0,3
"69",14,2024,0,2
"70",15,2018,NA,5
"71",15,2018,NA,4
"72",15,2018,NA,3
"73",15,2018,NA,2
"74",15,2018,NA,1
"75",16,2021,NA,5
"76",16,2021,NA,4
"77",16,2021,NA,3
"78",16,2021,NA,2
"79",16,2021,NA,1
"80",17,2012,0,5
"81",17,2012,0,4
"82",17,2012,0,3
"83",17,2012,0,2
"84",17,2012,0,1
"85",18,2013,0,5
"86",18,2013,0,4
"87",18,2013,0,3
"88",18,2013,0,2
"89",18,2013,0,1
"90",19,2022,0,5
"91",19,2022,0,4
"92",19,2022,0,3
"93",19,2022,0,2
"94",19,2022,0,1
"95",20,2020,0,5
"96",20,2020,0,4
"97",20,2020,0,3
"98",20,2020,0,2
"99",20,2020,0,1
"100",21,2021,0,5
"101",21,2021,0,4
"102",21,2021,0,3
"103",21,2021,0,2
"104",21,2021,0,1
"105",22,2020,0,5
"106",22,2020,0,4
"107",22,2020,0,3
"108",22,2020,0,2
"109",22,2020,0,1
"110",23,2017,0,5
"111",23,2017,0,4
"112",23,2017,0,3
"113",23,2017,0,2
"114",23,2017,0,1
"115",24,2024,0,5
"116",24,2024,0,4
"117",24,2024,0,3
"118",24,2024,0,2
"119",25,2014,0,5
"120",25,2014,0,4
"121",25,2014,0,3
"122",25,2014,0,2
"123",25,2014,0,1
"124",26,2017,0,5
"125",26,2017,0,4
"126",26,2017,0,3
"127",26,2017,0,2
"128",26,2017,0,1
"129",27,2018,0,5
"130",27,2018,0,4
"131",27,2018,0,3
"132",27,2018,0,2
"133",27,2018,0,1
"134",28,2013,0,5
"135",28,2013,0,4
"136",28,2013,0,3
"137",28,2013,0,2
"138",28,2013,0,1
"139",29,2015,0,5
"140",29,2015,0,4
"141",29,2015,0,3
"142",29,2015,0,2
"143",29,2015,0,1
"144",30,2016,0,5
"145",30,2016,0,4
"146",30,2016,0,3
"147",30,2016,0,2
"148",30,2016,0,1
"149",31,2017,0,5
"150",31,2017,0,4
"151",31,2017,0,3
"152",31,2017,0,2
"153",31,2017,0,1
"154",32,2019,0,5
"155",32,2019,0,4
"156",32,2019,0,3
"157",32,2019,0,2
"158",32,2019,0,1
"159",33,2020,0,5
"160",33,2020,0,4
"161",33,2020,0,3
"162",33,2020,0,2
"163",33,2020,0,1
"164",34,2013,0,5
"165",34,2013,0,4
"166",34,2013,0,3
"167",34,2013,0,2
"168",34,2013,0,1
"169",35,2019,0,5
"170",35,2019,0,4
"171",35,2019,0,3
"172",35,2019,0,2
"173",35,2019,0,1
"174",36,2022,0,5
"175",36,2022,0,4
"176",36,2022,0,3
"177",36,2022,0,2
"178",36,2022,0,1
"179",37,2023,0,5
"180",37,2023,0,4
"181",37,2023,0,3
"182",37,2023,0,2
"183",37,2023,0,1
"184",38,2013,0,5
"185",38,2013,0,4
"186",38,2013,0,3
"187",38,2013,0,2
"188",38,2013,0,1
"189",39,2014,0,5
"190",39,2014,0,4
"191",39,2014,0,3
"192",39,2014,0,2
"193",39,2014,0,1
"194",40,2012,0,5
"195",40,2012,0,4
"196",40,2012,0,3
"197",40,2012,0,2
"198",40,2012,0,1
"199",41,2019,0,5
"200",41,2019,0,4
"201",41,2019,0,3
"202",41,2019,0,2
"203",41,2019,0,1
"204",42,2019,0,5
"205",42,2019,0,4
"206",42,2019,0,3
"207",42,2019,0,2
"208",42,2019,0,1
"209",43,2018,0,5
"210",43,2018,0,4
"211",43,2018,0,3
"212",43,2018,0,2
"213",43,2018,0,1
"214",44,2021,0,5
"215",44,2021,0,4
"216",44,2021,0,3
"217",44,2021,0,2
"218",44,2021,0,1
"219",45,2013,0,5
"220",45,2013,0,4
"221",45,2013,0,3
"222",45,2013,0,2
"223",45,2013,0,1
"224",46,2020,0,5
"225",46,2020,0,4
"226",46,2020,0,3
"227",46,2020,0,2
"228",46,2020,0,1
"229",47,2022,0,5
"230",47,2022,0,4
"231",47,2022,0,3
"232",47,2022,0,2
"233",47,2022,0,1
"234",48,2014,0,5
"235",48,2014,0,4
"236",48,2014,0,3
"237",48,2014,0,2
"238",48,2014,0,1
"239",49,2024,0,5
"240",49,2024,0,4
"241",49,2024,0,3
"242",49,2024,0,2
"243",50,2012,0,5
"244",50,2012,0,4
"245",50,2012,0,3
"246",50,2012,0,2
"247",50,2012,0,1
"248",51,2012,0,5
"249",51,2012,0,4
"250",51,2012,0,3
"251",51,2012,0,2
"252",51,2012,0,1
"253",52,2022,0,5
"254",52,2022,0,4
"255",52,2022,0,3
"256",52,2022,0,2
"257",52,2022,0,1
"258",53,2012,0,5
"259",53,2012,0,4
"260",53,2012,0,3
"261",53,2012,0,2
"262",53,2012,0,1
"263",54,2014,0,5
"264",54,2014,0,4
"265",54,2014,0,3
"266",54,2014,0,2
"267",54,2014,0,1
"268",55,2024,0,5
"269",55,2024,0,4
"270",55,2024,0,3
"271",55,2024,0,2
"272",56,2020,0,5
"273",56,2020,0,4
"274",56,2020,0,3
"275",56,2020,0,2
"276",56,2020,0,1
"277",57,2023,0,5
"278",57,2023,0,4
"279",57,2023,0,3
"280",57,2023,0,2
"281",57,2023,0,1
"282",58,2024,0,5
"283",58,2024,0,4
"284",58,2024,0,3
"285",58,2024,0,2
"286",59,2020,0,5
"287",59,2020,0,4
"288",59,2020,0,3
"289",59,2020,0,2
"290",59,2020,0,1
"291",60,2023,0,5
"292",60,2023,0,4
"293",60,2023,0,3
"294",60,2023,0,2
"295",60,2023,0,1
"296",61,2023,0,5
"297",61,2023,0,4
"298",61,2023,0,3
"299",61,2023,0,2
"300",61,2023,0,1
"301",62,2023,0,5
"302",62,2023,0,4
"303",62,2023,0,3
"304",62,2023,0,2
"305",62,2023,0,1
"306",63,2015,0,5
"307",63,2015,0,4
"308",63,2015,0,3
"309",63,2015,0,2
"310",63,2015,0,1
"311",64,2016,0,5
"312",64,2016,0,4
"313",64,2016,0,3
"314",64,2016,0,2
"315",64,2016,0,1
"316",65,2011,0,5
"317",65,2011,0,4
"318",65,2011,0,3
"319",65,2011,0,2
"320",65,2011,0,1
"321",66,2013,0,5
"322",66,2013,0,4
"323",66,2013,0,3
"324",66,2013,0,2
"325",66,2013,0,1
"326",67,2014,0,5
"327",67,2014,0,4
"328",67,2014,0,3
"329",67,2014,0,2
"330",67,2014,0,1
"331",68,2018,0,5
"332",68,2018,0,4
"333",68,2018,0,3
"334",68,2018,0,2
"335",68,2018,0,1
"336",69,2019,0,5
"337",69,2019,0,4
"338",69,2019,0,3
"339",69,2019,0,2
"340",69,2019,0,1
"341",70,2021,0,5
"342",70,2021,0,4
"343",70,2021,0,3
"344",70,2021,0,2
"345",70,2021,0,1
"346",71,2023,0,5
"347",71,2023,0,4
"348",71,2023,0,3
"349",71,2023,0,2
"350",71,2023,0,1
"351",72,2024,0,5
"352",72,2024,0,4
"353",72,2024,0,3
"354",72,2024,0,2
"355",73,2013,0,5
"356",73,2013,0,4
"357",73,2013,0,3
"358",73,2013,0,2
"359",73,2013,0,1
"360",74,2014,0,5
"361",74,2014,0,4
"362",74,2014,0,3
"363",74,2014,0,2
"364",74,2014,0,1
"365",75,2020,0,5
"366",75,2020,0,4
"367",75,2020,0,3
"368",75,2020,0,2
"369",75,2020,0,1
"370",76,2022,0,5
"371",76,2022,0,4
"372",76,2022,0,3
"373",76,2022,0,2
"374",76,2022,0,1
"375",77,2016,0,5
"376",77,2016,0,4
"377",77,2016,0,3
"378",77,2016,0,2
"379",77,2016,0,1
"380",78,2023,NA,5
"381",78,2023,NA,4
"382",78,2023,NA,3
"383",78,2023,NA,2
"384",78,2023,NA,1
"385",79,2012,0,5
"386",79,2012,0,4
"387",79,2012,0,3
"388",79,2012,0,2
"389",79,2012,0,1
"390",80,2013,0,5
"391",80,2013,0,4
"392",80,2013,0,3
"393",80,2013,0,2
"394",80,2013,0,1
"395",81,2024,0,5
"396",81,2024,0,4
"397",81,2024,0,3
"398",81,2024,0,2
"399",82,2019,NA,5
"400",82,2019,NA,4
"401",82,2019,NA,3
"402",82,2019,NA,2
"403",82,2019,NA,1
"404",83,2022,NA,5
"405",83,2022,NA,4
"406",83,2022,NA,3
"407",83,2022,NA,2
"408",83,2022,NA,1
"409",84,2020,0,5
"410",84,2020,0,4
"411",84,2020,0,3
"412",84,2020,0,2
"413",84,2020,0,1
"414",85,2021,NA,5
"415",85,2021,NA,4
"416",85,2021,NA,3
"417",85,2021,NA,2
"418",85,2021,NA,1
"419",86,2012,0,5
"420",86,2012,0,4
"421",86,2012,0,3
"422",86,2012,0,2
"423",86,2012,0,1
"424",87,2020,0,5
"425",87,2020,0,4
"426",87,2020,0,3
"427",87,2020,0,2
"428",87,2020,0,1
"429",88,2021,0,5
"430",88,2021,0,4
"431",88,2021,0,3
"432",88,2021,0,2
"433",88,2021,0,1
"434",89,2011,0,5
"435",89,2011,0,4
"436",89,2011,0,3
"437",89,2011,0,2
"438",89,2011,0,1
"439",90,2012,0,5
"440",90,2012,0,4
"441",90,2012,0,3
"442",90,2012,0,2
"443",90,2012,0,1
"444",91,2014,0,5
"445",91,2014,0,4
"446",91,2014,0,3
"447",91,2014,0,2
"448",91,2014,0,1
"449",92,2016,0,5
"450",92,2016,0,4
