"","cell","year"
"373",1911,2021
"374",1911,2022
"375",1911,2023
"376",1619,2016
"377",1620,2016
"378",1925,2016
"379",1926,2016
"380",2207,2013
"381",2208,2013
"382",2209,2013
"383",2513,2013
"384",2514,2013
"385",2515,2013
"386",2209,2011
"387",2210,2011
"388",2211,2011
"389",1903,2013
"390",1904,2013
"391",2210,2013
"392",2209,2015
"393",2210,2015
"394",2209,2017
"395",2210,2017
"396",1903,2018
"397",1904,2018
"398",2209,2018
"399",2210,2018
"400",2209,2019
"401",2210,2019
"402",2209,2021
"403",2210,2021
"404",2210,2023
"405",2211,2023
"406",2213,2011
"407",2213,2013
"408",2213,2015
"409",2213,2016
"410",2213,2018
"411",2214,2020
"412",2519,2020
"413",2520,2020
"414",2213,2022
"415",2214,2011
"416",2519,2011
"417",2520,2011
"418",2215,2012
"419",2214,2014
"420",2215,2014
"421",2214,2015
"422",2215,2015
"423",2520,2017
"424",2213,2019
"425",2214,2019
"426",1908,2024
"427",2214,2024
"428",2521,2012
"429",2215,2013
"430",2214,2016
"431",2215,2016
"432",2216,2016
"433",2521,2016
"434",2215,2019
"435",2215,2020
"436",2215,2021
"437",2216,2021
"438",2521,2021
"439",2522,2021
"440",2214,2022
"441",2215,2022
"442",2229,2017
"443",2230,2017
"444",2229,2018
"445",2230,2018
"446",2229,2019
"447",2230,2019
"448",2229,2022
"449",2230,2022
"450",2231,2018
"451",2536,2018
"452",2537,2018
"453",2231,2012
"454",2231,2016
"455",2232,2016
"456",2233,2016
"457",2537,2016
"458",2538,2016
"459",2539,2016
"460",2231,2019
"461",2232,2019
"462",2537,2019
"463",2538,2019
"464",2514,2018
"465",2515,2018
"466",2820,2018
"467",2821,2018
"468",2514,2020
"469",2515,2020
"470",2820,2020
"471",2821,2020
"472",2514,2021
"473",2515,2021
"474",2210,2020
"475",2516,2020
"476",2519,2015
"477",2518,2023
"478",2519,2023
"479",2824,2023
"480",2825,2023
"481",2519,2013
"482",2520,2013
"483",2521,2013
"484",2825,2013
"485",2826,2013
"486",2827,2013
"487",2520,2014
"488",2520,2015
"489",2520,2016
"490",2520,2018
"491",2521,2018
"492",2826,2018
"493",2520,2021
"494",2213,2023
"495",2214,2023
"496",2215,2023
"497",2520,2023
"498",2521,2023
"499",2521,2019
"500",2522,2019
"501",2523,2019
"502",2828,2019
"503",2829,2019
"504",2522,2022
"505",2523,2022
"506",2828,2022
"507",2829,2022
"508",2523,2012
"509",2524,2012
"510",2525,2012
"511",2830,2012
"512",2524,2022
"513",2525,2022
"514",2527,2015
"515",2528,2015
"516",2227,2017
"517",2228,2017
"518",2533,2017
"519",2534,2017
"520",2534,2018
"521",2535,2018
"522",2535,2017
"523",2536,2017
"524",2536,2016
"525",2842,2016
"526",2843,2016
"527",2809,2013
"528",2808,2015
"529",2809,2015
"530",2809,2016
"531",2808,2018
"532",2809,2018
"533",2810,2018
"534",3114,2018
"535",3115,2018
"536",2809,2019
"537",2809,2021
"538",2808,2024
"539",2809,2024
"540",2810,2024
"541",3114,2024
"542",3115,2024
"543",2510,2011
"544",2816,2011
"545",2817,2011
"546",2816,2013
"547",2816,2014
"548",2510,2015
"549",2816,2015
"550",2817,2015
"551",2816,2017
"552",2816,2019
"553",2510,2020
"554",2816,2020
"555",2817,2020
"556",2510,2022
"557",2511,2022
"558",2815,2022
"559",2816,2022
"560",2817,2022
"561",2510,2023
"562",2511,2023
"563",2816,2023
"564",2817,2023
"565",2517,2015
"566",2518,2015
"567",2823,2015
"568",2824,2015
"569",2822,2017
"570",2823,2017
"571",2824,2017
"572",3129,2017
"573",3130,2017
"574",2822,2019
"575",2823,2019
"576",3128,2019
"577",3129,2019
"578",2822,2022
"579",2823,2022
"580",3129,2022
"581",2822,2024
"582",2823,2024
"583",3128,2024
"584",3129,2024
"585",2825,2010
"586",2826,2010
"587",2825,2011
"588",2826,2011
"589",2825,2012
"590",2826,2012
"591",3131,2012
"592",3132,2012
"593",2825,2014
"594",2826,2014
"595",2825,2015
"596",2825,2018
"597",2825,2019
"598",2826,2019
"599",2825,2022
"600",2825,2020
"601",2826,2020
"602",2826,2021
"603",2826,2023
"604",2827,2012
"605",2827,2015
"606",2827,2017
"607",2827,2021
"608",2828,2021
"609",3133,2021
"610",3134,2021
"611",2827,2024
"612",2828,2012
"613",2523,2013
"614",2829,2013
"615",2829,2016
"616",2523,2017
"617",2829,2017
"618",2522,2018
"619",2523,2018
"620",2524,2018
"621",2828,2018
"622",2829,2018
"623",2830,2018
"624",2829,2023
"625",2830,2023
"626",2831,2016
"627",2832,2016
"628",2833,2016
"629",3138,2016
"630",3139,2016
"631",2833,2021
"632",3139,2021
"633",2839,2022
"634",2840,2022
"635",2841,2024
"636",3122,2012
"637",3129,2012
"638",3129,2020
"639",3130,2022
"640",2825,2021
"641",3130,2021
"642",3131,2021
"643",3132,2021
"644",3437,2021
"645",3131,2011
"646",3132,2011
"647",3133,2011
"648",3437,2011
"649",3438,2011
"650",3439,2011
"651",3132,2015
"652",3438,2015
"653",3132,2019
"654",3131,2023
"655",3132,2023
"656",3133,2023
"657",3437,2023
"658",3438,2023
"659",3439,2023
"660",2832,2010
"661",2833,2010
"662",3138,2010
"663",3139,2010
"664",3139,2019
"665",2833,2023
"666",3139,2023
"667",3139,2024
"668",3392,2023
"669",3393,2023
"670",3422,2012
"671",3423,2012
"672",3434,2012
"673",3435,2012
"674",3740,2012
"675",3741,2012
"676",3434,2016
"677",3740,2016
"678",3434,2020
"679",3434,2022
"680",3740,2022
"681",3434,2023
"682",3740,2023
"683",3434,2024
