"","cellID","year","cell","area","coverage_fraction","blobnum"
"1",61,2019,60,2493587.788213,0.0427041351795197,1
"2",61,2019,61,2493587.788213,0.0849777162075043,1
"3",61,2019,366,2493587.788213,0.00783581752330065,1
"4",61,2019,367,2493587.788213,0.0207570940256119,1
"5",61,2023,60,12907036.9053701,0.221515506505966,2
"6",61,2023,61,12907036.9053701,0.300253838300705,2
"7",61,2023,366,12907036.9053701,0.119281277060509,2
"8",61,2023,367,12907036.9053701,0.167841672897339,2
"9",65,2013,65,2057350.9936868,0.128948703408241,3
"10",65,2015,65,4634829.42903054,0.279936999082565,4
"11",65,2015,66,4634829.42903054,0.0100279431790113,4
"12",65,2015,371,4634829.42903054,0.000532481295522302,4
"13",74,2022,74,18549706.769393,0.700127959251404,5
"14",74,2022,75,18549706.769393,0.401648074388504,5
"15",74,2022,380,18549706.769393,0.0466692000627518,5
"16",74,2022,381,18549706.769393,0.014319259673357,5
"17",342,2021,342,2643686.16213555,0.0922175720334053,6
"18",342,2021,343,2643686.16213555,0.0733879432082176,6
"19",368,2019,62,10989641.1570356,0.0062544010579586,7
"20",368,2019,368,10989641.1570356,0.505220770835876,7
"21",368,2019,369,10989641.1570356,0.176959171891212,7
"22",368,2020,62,797414.547691938,0.00322166853584349,8
"23",368,2020,368,797414.547691938,0.0467467941343784,8
"24",368,2021,368,6175997.98932922,0.304222762584686,9
"25",368,2021,369,6175997.98932922,0.0827113762497902,9
"26",371,2021,370,12902298.2926289,0.115916639566422,10
"27",371,2021,371,12902298.2926289,0.458777785301208,10
"28",371,2021,676,12902298.2926289,0.0351881347596645,10
"29",371,2021,677,12902298.2926289,0.198209270834923,10
"30",375,2019,69,797718.38687891,0.00325680826790631,11
"31",375,2019,375,797718.38687891,0.0467307008802891,11
"32",375,2020,69,797761.884393017,0.00318332249298692,12
"33",375,2020,375,797761.884393017,0.0468068979680538,12
"34",379,2024,379,796929.667139195,0.0499329082667828,13
"35",381,2010,381,4636457.45382599,0.187284350395203,14
"36",381,2010,382,4636457.45382599,0.103162877261639,14
"37",385,2011,385,515059.68106293,0.0322714895009995,15
"38",385,2012,385,515059.68106293,0.0322714895009995,16
"39",385,2013,385,1665231.61152758,0.104336462914944,17
"40",385,2014,384,1127555.24933831,0.00104345660656691,18
"41",385,2014,385,1127555.24933831,0.0695997476577759,18
"42",386,2011,80,6665621.5203991,0.0130583122372627,19
"43",386,2011,386,6665621.5203991,0.351708114147186,19
"44",386,2011,387,6665621.5203991,0.0528710894286633,19
"45",386,2023,386,128457.598189242,0.0080493651330471,20
"46",678,2015,678,252392.364708261,0.0136308195069432,21
"47",678,2015,984,252392.364708261,0.00216546258889139,21
